ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
213285_at	8.03e-06	7.50e-07	-6.1548676	5.50367	-1.08	TMEM30B	transmembrane protein 30B
210456_at	8.03e-06	7.50e-07	-6.1546759	5.50313	-9.17e-01	PCYT1B	phosphate cytidylyltransferase 1, choline, beta
205554_s_at	8.03e-06	7.50e-07	-6.154586	5.50287	-1.75	DNASE1L3	deoxyribonuclease 1 like 3
206912_at	8.07e-06	7.55e-07	-6.1523914	5.49663	-2.23	FOXE1	forkhead box E1
212388_at	8.07e-06	7.55e-07	6.1523375	5.49648	8.15e-01	USP24	ubiquitin specific peptidase 24
218638_s_at	8.11e-06	7.60e-07	6.1501893	5.49036	1.38	LOC100130872///SPON2	uncharacterized LOC100130872///spondin 2
201431_s_at	8.16e-06	7.65e-07	6.1477597	5.48345	1.62	DPYSL3	dihydropyrimidinase like 3
213758_at	8.17e-06	7.66e-07	6.1473374	5.48225	1.11	COX4I1	cytochrome c oxidase subunit 4I1
220104_at	8.22e-06	7.71e-07	-6.1451058	5.4759	-1.92	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
219764_at	8.26e-06	7.75e-07	6.1430129	5.46994	1.43	FZD10	frizzled class receptor 10
219563_at	8.28e-06	7.78e-07	6.1420295	5.46715	1.08	SYNE3///LINC00341	spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341
211593_s_at	8.30e-06	7.81e-07	6.1406743	5.46329	1.35	MAST2	microtubule associated serine/threonine kinase 2
212074_at	8.30e-06	7.81e-07	6.1405413	5.46291	9.12e-01	SUN1	Sad1 and UNC84 domain containing 1
201561_s_at	8.30e-06	7.81e-07	6.1403138	5.46226	6.69e-01	CLSTN1	calsyntenin 1
208596_s_at	8.36e-06	7.87e-07	-6.1379593	5.45556	-2.14	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10
203662_s_at	8.37e-06	7.89e-07	6.1370163	5.45288	1.60	TMOD1	tropomodulin 1
219429_at	8.37e-06	7.89e-07	6.13691	5.45258	3.15	FA2H	fatty acid 2-hydroxylase
201490_s_at	8.39e-06	7.91e-07	-6.1358946	5.44969	-2.75	PPIF	peptidylprolyl isomerase F
204020_at	8.39e-06	7.92e-07	6.1355166	5.44861	7.57e-01	PURA	purine rich element binding protein A
217771_at	8.40e-06	7.94e-07	6.1348762	5.44679	1.92	GOLM1	golgi membrane protein 1
215747_s_at	8.42e-06	7.96e-07	-6.1339278	5.44409	-1.35	RCC1	regulator of chromosome condensation 1
214100_x_at	8.43e-06	7.97e-07	6.1332686	5.44222	1.05	NSUN5P1	NOP2/Sun RNA methyltransferase family member 5 pseudogene 1
203757_s_at	8.45e-06	7.99e-07	6.1324601	5.43992	3.20	CEACAM6	carcinoembryonic antigen related cell adhesion molecule 6
203287_at	8.45e-06	8.00e-07	-6.1322907	5.43943	-1.07	LAD1	ladinin 1
212978_at	8.45e-06	8.00e-07	-6.1319217	5.43838	-1.22	LRRC8B	leucine rich repeat containing 8 family member B
209889_at	8.51e-06	8.06e-07	6.1293792	5.43115	1.54	SEC31B	SEC31 homolog B, COPII coat complex component
209705_at	8.51e-06	8.07e-07	6.129155	5.43051	1.18	MTF2	metal response element binding transcription factor 2
212144_at	8.54e-06	8.11e-07	6.1274071	5.42553	6.90e-01	SUN2	Sad1 and UNC84 domain containing 2
217786_at	8.56e-06	8.13e-07	-6.1266501	5.42338	-7.15e-01	PRMT5	protein arginine methyltransferase 5
203600_s_at	8.56e-06	8.13e-07	6.126459	5.42284	8.28e-01	FAM193A	family with sequence similarity 193 member A
219115_s_at	8.56e-06	8.14e-07	6.1259296	5.42133	2.54	IL20RA	interleukin 20 receptor subunit alpha
221834_at	8.64e-06	8.22e-07	6.1228031	5.41243	1.39	LOC100507577///LONP2	uncharacterized LOC100507577///lon peptidase 2, peroxisomal
205571_at	8.73e-06	8.31e-07	6.1186986	5.40075	1.47	LIPT1	lipoyltransferase 1
212377_s_at	8.76e-06	8.34e-07	6.1175731	5.39754	5.24e-01	NOTCH2	notch 2
205246_at	8.78e-06	8.37e-07	-6.1162306	5.39372	-1.80	PEX13	peroxisomal biogenesis factor 13
208820_at	8.80e-06	8.39e-07	6.115343	5.39119	6.65e-01	PTK2	protein tyrosine kinase 2
212179_at	8.80e-06	8.40e-07	6.1150375	5.39032	1.07	PNISR	PNN interacting serine and arginine rich protein
209425_at	8.88e-06	8.48e-07	6.1118552	5.38127	1.69	C1QTNF3-AMACR///AMACR	C1QTNF3-AMACR readthrough (NMD candidate)///alpha-methylacyl-CoA racemase
219114_at	8.90e-06	8.50e-07	6.1109799	5.37877	1.42	C3orf18	chromosome 3 open reading frame 18
200657_at	8.97e-06	8.58e-07	-6.1075422	5.36899	-4.91e-01	SLC25A5	solute carrier family 25 member 5
210831_s_at	8.97e-06	8.59e-07	-6.1072169	5.36806	-1.34	PTGER3	prostaglandin E receptor 3
201095_at	8.97e-06	8.59e-07	6.1071754	5.36794	9.59e-01	DAP	death associated protein
200730_s_at	8.97e-06	8.60e-07	-6.1069306	5.36725	-2.69	PTP4A1	protein tyrosine phosphatase type IVA, member 1
210645_s_at	8.97e-06	8.60e-07	6.1068946	5.36714	7.55e-01	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
204547_at	8.97e-06	8.60e-07	6.1066655	5.36649	1.12	RAB40B	RAB40B, member RAS oncogene family
208730_x_at	9.03e-06	8.67e-07	-6.1039709	5.35882	-7.88e-01	RAB2A	RAB2A, member RAS oncogene family
201593_s_at	9.03e-06	8.67e-07	-6.103878	5.35855	-1.17	ZC3H15	zinc finger CCCH-type containing 15
210827_s_at	9.09e-06	8.73e-07	-6.101606	5.35208	-2.15	ELF3	E74 like ETS transcription factor 3
203678_at	9.14e-06	8.78e-07	6.0993548	5.34567	8.90e-01	FAN1	FANCD2/FANCI-associated nuclease 1
